Academic_Year,Term,Course_ID,Course_Title,total_sections,optimal_sections,pct_optimal
2019-20,Fall,C00002,Management UG Course 2,1,0,0
2019-20,Fall,C00003,Management UG Course 3,1,0,0
2019-20,Fall,C00005,Management UG Course 5,1,0,0
2019-20,Fall,C00006,Management UG Course 6,1,0,0
2019-20,Fall,C00009,Management UG Course 9,1,0,0
2019-20,Fall,C00010,Management UG Course 10,1,0,0
2019-20,Fall,C00013,Management UG Course 13,1,0,0
2019-20,Fall,C00015,Management UG Course 15,1,0,0
2019-20,Fall,C00016,Management UG Course 16,1,0,0
2019-20,Fall,C00017,Management UG Course 17,1,0,0
2019-20,Fall,C00018,Management UG Course 18,1,0,0
2019-20,Fall,C00019,Management UG Course 19,1,0,0
2019-20,Fall,C00022,Management UG Course 22,4,0,0
2019-20,Fall,C00025,Management UG Course 25,1,0,0
2019-20,Fall,C00026,Management UG Course 26,1,0,0
2019-20,Fall,C00027,Management UG Course 27,1,0,0
2019-20,Fall,C00029,Management UG Course 29,1,0,0
2019-20,Fall,C00030,Management UG Course 30,3,0,0
2019-20,Fall,C00031,Management UG Course 31,1,0,0
2019-20,Fall,C00032,Management UG Course 32,1,0,0
2019-20,Fall,C00033,Management UG Course 33,3,0,0
2019-20,Fall,C00034,Management UG Course 34,1,0,0
2019-20,Fall,C00035,Management UG Course 35,1,0,0
2019-20,Fall,C00038,Management UG Course 38,1,0,0
2019-20,Fall,C00039,Management UG Course 39,1,0,0
2019-20,Fall,C00055,Finance UG Course 1,1,0,0
2019-20,Fall,C00056,Finance UG Course 2,1,0,0
2019-20,Fall,C00057,Finance UG Course 3,1,0,0
2019-20,Fall,C00058,Finance UG Course 4,1,0,0
2019-20,Fall,C00062,Finance UG Course 8,1,0,0
2019-20,Fall,C00063,Finance UG Course 9,1,0,0
2019-20,Fall,C00066,Finance UG Course 12,1,0,0
2019-20,Fall,C00070,Finance UG Course 16,1,0,0
2019-20,Fall,C00072,Finance UG Course 18,1,0,0
2019-20,Fall,C00073,Finance UG Course 19,3,0,0
2019-20,Fall,C00074,Finance UG Course 20,1,0,0
2019-20,Fall,C00075,Finance UG Course 21,1,0,0
2019-20,Fall,C00076,Finance UG Course 22,1,0,0
2019-20,Fall,C00077,Finance UG Course 23,1,0,0
2019-20,Fall,C00078,Finance UG Course 24,1,0,0
2019-20,Fall,C00079,Finance UG Course 25,1,0,0
2019-20,Fall,C00081,Finance UG Course 27,1,0,0
2019-20,Fall,C00083,Finance UG Course 29,1,0,0
2019-20,Fall,C00084,Finance UG Course 30,1,0,0
2019-20,Fall,C00085,Finance UG Course 31,1,0,0
2019-20,Fall,C00087,Finance UG Course 33,1,0,0
2019-20,Fall,C00088,Finance UG Course 34,1,0,0
2019-20,Fall,C00090,Finance UG Course 36,1,0,0
2019-20,Fall,C00092,Finance UG Course 38,1,0,0
2019-20,Fall,C00093,Finance UG Course 39,1,0,0
2019-20,Fall,C00109,Marketing UG Course 1,1,0,0
2019-20,Fall,C00110,Marketing UG Course 2,1,0,0
2019-20,Fall,C00114,Marketing UG Course 6,1,0,0
2019-20,Fall,C00120,Marketing UG Course 12,1,0,0
2019-20,Fall,C00122,Marketing UG Course 14,1,0,0
2019-20,Fall,C00123,Marketing UG Course 15,3,0,0
2019-20,Fall,C00124,Marketing UG Course 16,1,0,0
2019-20,Fall,C00126,Marketing UG Course 18,1,0,0
2019-20,Fall,C00127,Marketing UG Course 19,1,0,0
2019-20,Fall,C00128,Marketing UG Course 20,1,0,0
2019-20,Fall,C00130,Marketing UG Course 22,1,0,0
2019-20,Fall,C00131,Marketing UG Course 23,1,0,0
2019-20,Fall,C00134,Marketing UG Course 26,1,0,0
2019-20,Fall,C00138,Marketing UG Course 30,1,0,0
2019-20,Fall,C00139,Marketing UG Course 31,1,0,0
2019-20,Fall,C00140,Marketing UG Course 32,1,0,0
2019-20,Fall,C00141,Marketing UG Course 33,1,0,0
2019-20,Fall,C00142,Marketing UG Course 34,1,0,0
2019-20,Fall,C00145,Marketing UG Course 37,1,0,0
2019-20,Fall,C00147,Marketing UG Course 39,1,0,0
2019-20,Fall,C00163,Civil UG Course 1,1,0,0
2019-20,Fall,C00167,Civil UG Course 5,1,0,0
2019-20,Fall,C00171,Civil UG Course 9,1,0,0
2019-20,Fall,C00172,Civil UG Course 10,1,0,0
2019-20,Fall,C00174,Civil UG Course 12,1,0,0
2019-20,Fall,C00175,Civil UG Course 13,1,0,0
2019-20,Fall,C00176,Civil UG Course 14,1,0,0
2019-20,Fall,C00180,Civil UG Course 18,1,0,0
2019-20,Fall,C00181,Civil UG Course 19,1,0,0
2019-20,Fall,C00182,Civil UG Course 20,1,0,0
2019-20,Fall,C00183,Civil UG Course 21,1,0,0
2019-20,Fall,C00186,Civil UG Course 24,1,0,0
2019-20,Fall,C00188,Civil UG Course 26,1,0,0
2019-20,Fall,C00189,Civil UG Course 27,1,0,0
2019-20,Fall,C00190,Civil UG Course 28,1,0,0
2019-20,Fall,C00191,Civil UG Course 29,1,0,0
2019-20,Fall,C00193,Civil UG Course 31,1,0,0
2019-20,Fall,C00194,Civil UG Course 32,1,0,0
2019-20,Fall,C00195,Civil UG Course 33,1,0,0
2019-20,Fall,C00196,Civil UG Course 34,1,0,0
2019-20,Fall,C00197,Civil UG Course 35,1,0,0
2019-20,Fall,C00198,Civil UG Course 36,1,0,0
2019-20,Fall,C00200,Civil UG Course 38,1,0,0
2019-20,Fall,C00201,Civil UG Course 39,1,0,0
2019-20,Fall,C00202,Civil UG Course 40,1,0,0
2019-20,Fall,C00204,Civil PG Course 2,1,1,100
2019-20,Fall,C00206,Civil PG Course 4,1,0,0
2019-20,Fall,C00209,Civil PG Course 7,1,0,0
2019-20,Fall,C00210,Civil PG Course 8,1,0,0
2019-20,Fall,C00212,Civil PG Course 10,1,0,0
2019-20,Fall,C00213,Civil PG Course 11,1,0,0
2019-20,Fall,C00214,Civil PG Course 12,1,1,100
2019-20,Fall,C00219,Mechanical UG Course 3,1,0,0
2019-20,Fall,C00220,Mechanical UG Course 4,1,0,0
2019-20,Fall,C00224,Mechanical UG Course 8,1,0,0
2019-20,Fall,C00227,Mechanical UG Course 11,2,0,0
2019-20,Fall,C00232,Mechanical UG Course 16,1,0,0
2019-20,Fall,C00235,Mechanical UG Course 19,1,0,0
2019-20,Fall,C00237,Mechanical UG Course 21,1,0,0
2019-20,Fall,C00238,Mechanical UG Course 22,1,0,0
2019-20,Fall,C00242,Mechanical UG Course 26,1,0,0
2019-20,Fall,C00243,Mechanical UG Course 27,1,0,0
2019-20,Fall,C00244,Mechanical UG Course 28,1,0,0
2019-20,Fall,C00245,Mechanical UG Course 29,1,0,0
2019-20,Fall,C00250,Mechanical UG Course 34,1,0,0
