Academic_Year,Term,Course_ID,Course_Title,Section_ID,Enrolled_Count,class_size_status
2019-20,Fall,C00002,Management UG Course 2,SEC000001,3,Underfilled
2019-20,Fall,C00003,Management UG Course 3,SEC000002,4,Underfilled
2019-20,Fall,C00005,Management UG Course 5,SEC000003,9,Underfilled
2019-20,Fall,C00006,Management UG Course 6,SEC000004,1,Underfilled
2019-20,Fall,C00009,Management UG Course 9,SEC000005,2,Underfilled
2019-20,Fall,C00010,Management UG Course 10,SEC000006,1,Underfilled
2019-20,Fall,C00013,Management UG Course 13,SEC000007,3,Underfilled
2019-20,Fall,C00015,Management UG Course 15,SEC000008,1,Underfilled
2019-20,Fall,C00016,Management UG Course 16,SEC000009,3,Underfilled
2019-20,Fall,C00017,Management UG Course 17,SEC000010,3,Underfilled
2019-20,Fall,C00018,Management UG Course 18,SEC000011,1,Underfilled
2019-20,Fall,C00019,Management UG Course 19,SEC000012,2,Underfilled
2019-20,Fall,C00022,Management UG Course 22,SEC000013,39,Overfilled
2019-20,Fall,C00022,Management UG Course 22,SEC000014,38,Overfilled
2019-20,Fall,C00022,Management UG Course 22,SEC000015,38,Overfilled
2019-20,Fall,C00022,Management UG Course 22,SEC000016,38,Overfilled
2019-20,Fall,C00025,Management UG Course 25,SEC000017,5,Underfilled
2019-20,Fall,C00026,Management UG Course 26,SEC000018,3,Underfilled
2019-20,Fall,C00027,Management UG Course 27,SEC000019,4,Underfilled
2019-20,Fall,C00029,Management UG Course 29,SEC000020,2,Underfilled
2019-20,Fall,C00030,Management UG Course 30,SEC000021,48,Overfilled
2019-20,Fall,C00030,Management UG Course 30,SEC000022,47,Overfilled
2019-20,Fall,C00030,Management UG Course 30,SEC000023,47,Overfilled
2019-20,Fall,C00031,Management UG Course 31,SEC000024,4,Underfilled
2019-20,Fall,C00032,Management UG Course 32,SEC000025,2,Underfilled
2019-20,Fall,C00033,Management UG Course 33,SEC000026,48,Overfilled
2019-20,Fall,C00033,Management UG Course 33,SEC000027,47,Overfilled
2019-20,Fall,C00033,Management UG Course 33,SEC000028,47,Overfilled
2019-20,Fall,C00034,Management UG Course 34,SEC000029,7,Underfilled
2019-20,Fall,C00035,Management UG Course 35,SEC000030,1,Underfilled
2019-20,Fall,C00038,Management UG Course 38,SEC000031,1,Underfilled
2019-20,Fall,C00039,Management UG Course 39,SEC000032,5,Underfilled
2019-20,Fall,C00055,Finance UG Course 1,SEC000033,2,Underfilled
2019-20,Fall,C00056,Finance UG Course 2,SEC000034,4,Underfilled
2019-20,Fall,C00057,Finance UG Course 3,SEC000035,5,Underfilled
2019-20,Fall,C00058,Finance UG Course 4,SEC000036,1,Underfilled
2019-20,Fall,C00062,Finance UG Course 8,SEC000037,4,Underfilled
2019-20,Fall,C00063,Finance UG Course 9,SEC000038,3,Underfilled
2019-20,Fall,C00066,Finance UG Course 12,SEC000039,1,Underfilled
2019-20,Fall,C00070,Finance UG Course 16,SEC000040,5,Underfilled
2019-20,Fall,C00072,Finance UG Course 18,SEC000041,2,Underfilled
2019-20,Fall,C00073,Finance UG Course 19,SEC000042,49,Overfilled
2019-20,Fall,C00073,Finance UG Course 19,SEC000043,49,Overfilled
2019-20,Fall,C00073,Finance UG Course 19,SEC000044,48,Overfilled
2019-20,Fall,C00074,Finance UG Course 20,SEC000045,3,Underfilled
2019-20,Fall,C00075,Finance UG Course 21,SEC000046,1,Underfilled
2019-20,Fall,C00076,Finance UG Course 22,SEC000047,3,Underfilled
2019-20,Fall,C00077,Finance UG Course 23,SEC000048,2,Underfilled
2019-20,Fall,C00078,Finance UG Course 24,SEC000049,2,Underfilled
2019-20,Fall,C00079,Finance UG Course 25,SEC000050,1,Underfilled
2019-20,Fall,C00081,Finance UG Course 27,SEC000051,3,Underfilled
2019-20,Fall,C00083,Finance UG Course 29,SEC000052,2,Underfilled
2019-20,Fall,C00084,Finance UG Course 30,SEC000053,3,Underfilled
2019-20,Fall,C00085,Finance UG Course 31,SEC000054,2,Underfilled
2019-20,Fall,C00087,Finance UG Course 33,SEC000055,2,Underfilled
2019-20,Fall,C00088,Finance UG Course 34,SEC000056,2,Underfilled
2019-20,Fall,C00090,Finance UG Course 36,SEC000057,3,Underfilled
2019-20,Fall,C00092,Finance UG Course 38,SEC000058,6,Underfilled
2019-20,Fall,C00093,Finance UG Course 39,SEC000059,2,Underfilled
